quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,symmetric,mle,18,0.126727006,0.050106045,0.039473684,0.41955921,0.992097352,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,19,0.126726939,0.050106045,0.039473684,0.419505332,0.992099289,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,20,0.126727012,0.050106045,0.039473684,0.419563873,0.992097187,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,21,0.126726933,0.050106045,0.039473684,0.415439109,0.992099444,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,22,0.126726984,0.050106045,0.039473684,0.419539078,0.992098068,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,23,0.126726933,0.050106045,0.039473684,0.415437723,0.992099489,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,24,0.12672694,0.050106045,0.039473684,0.415436927,0.992099515,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,25,0.126726934,0.049840933,0.039473684,0.431823937,0.992099422,1,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,26,0.12672885,0.050106045,0.039473684,0.416652966,0.992092015,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,27,0.126726934,0.050106045,0.039473684,0.4154358,0.992099552,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,28,0.126726933,0.050371156,0.039473684,0.477926138,0.992099503,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,mle,29,0.126726933,0.050106045,0.039473684,0.415438582,0.992099461,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,asymmetric,RQ,0,0.124140808,0.050371156,0.037280702,0.276037869,0.998487165,0.910748281,0.011465494,green,green,,1,,0.624169779
0.05,asymmetric,RQ,1,0.124141308,0.050106045,0.036732456,0.282080471,0.999113667,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,2,0.124139364,0.050106045,0.036732456,0.280688843,0.999114136,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,3,0.124139174,0.050371156,0.036732456,0.282430525,0.999114167,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,4,0.124139248,0.050371156,0.036732456,0.282709336,0.999114023,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,5,0.124139186,0.050106045,0.036732456,0.302654517,0.999114181,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,6,0.12413924,0.050106045,0.036732456,0.280831593,0.999114019,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,7,0.124140423,0.050371156,0.037280702,0.276406009,0.998904999,0.910748281,0.011465494,green,green,,1,,0.847888226
0.05,asymmetric,RQ,8,0.124139078,0.050106045,0.036732456,0.29248558,0.999114173,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,9,0.124139158,0.050371156,0.036732456,0.282222246,0.999114218,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,10,0.124143903,0.050106045,0.037280702,0.299370516,0.996498026,0.970194032,0.011465494,green,green,,1,,0.847888226
0.05,asymmetric,RQ,11,0.124139254,0.050371156,0.036732456,0.282331308,0.999114202,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,12,0.124139107,0.050371156,0.036732456,0.282425749,0.999114166,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,13,0.124139112,0.050371156,0.036732456,0.282436382,0.999114149,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,14,0.12414146,0.050106045,0.037280702,0.299536321,0.99848687,0.970194032,0.011465494,green,green,,1,,0.624169779
0.05,asymmetric,RQ,15,0.124139103,0.050106045,0.036732456,0.292493884,0.99911417,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,16,0.12413921,0.050371156,0.036732456,0.282152246,0.999114123,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,17,0.124139053,0.050106045,0.036732456,0.280606647,0.999114158,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,18,0.124139088,0.050106045,0.036732456,0.292475813,0.999114174,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,19,0.124139183,0.050371156,0.036732456,0.28241136,0.999114173,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,20,0.124139142,0.050371156,0.036732456,0.282270346,0.999114204,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,21,0.12413919,0.050371156,0.036732456,0.282185743,0.99911423,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,22,0.124139921,0.050371156,0.036732456,0.283705928,0.999113908,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,23,0.124139198,0.050371156,0.036732456,0.282097445,0.999114146,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,24,0.124139318,0.050106045,0.036732456,0.280705189,0.999114132,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,25,0.12413908,0.050106045,0.036732456,0.292477799,0.999114173,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,26,0.12413946,0.049840933,0.036732456,0.291127337,0.999114201,1,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,27,0.124139063,0.050371156,0.036732456,0.282415322,0.999114168,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,RQ,28,0.12414065,0.050371156,0.037280702,0.27656692,0.998904862,0.910748281,0.011465494,green,green,,1,,0.847888226
0.05,asymmetric,RQ,29,0.124139176,0.050371156,0.036732456,0.2821107,0.999114126,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,0,0.12413924,0.050106045,0.036732456,0.280379319,0.999114136,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,1,0.124139073,0.050106045,0.036732456,0.29254181,0.999114157,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,2,0.124139048,0.050106045,0.036732456,0.302752109,0.99911416,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,3,0.124139556,0.050371156,0.036732456,0.282391772,0.999114033,0.910748281,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,4,0.124140552,0.050371156,0.037828947,0.275851754,0.998140627,0.910748281,0.015536822,green,green,,1,,0.831385573
0.05,asymmetric,mle,5,0.124139192,0.049840933,0.036732456,0.315024517,0.999114231,1,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,6,0.124139309,0.050106045,0.036732456,0.28059789,0.999113973,0.970194032,0.008372426,green,green,,1,,0.652149313
0.05,asymmetric,mle,7,0.124139193,0.050106045,0.036732456,0.302716748,0.999114141,0.970194032,0.008372426,green,green,,1,,0.652149313
