beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta4,0.314187934,0.034532669,4.59E-20,0.01,asymmetric,mle,28
beta1,-0.075575532,0.010372353,1.59E-13,0.01,asymmetric,mle,29
beta2,0.922869531,0.008396166,0,0.01,asymmetric,mle,29
beta3,-0.019087733,0.058124812,0.371307584,0.01,asymmetric,mle,29
beta4,0.321857537,0.036520542,6.09E-19,0.01,asymmetric,mle,29
beta1,0.262886026,0.078875061,0.000429664,0.01,igarch,RQ,0
beta2,0.882294435,0.029339338,5.62E-199,0.01,igarch,RQ,0
beta3,0.547405859,0.214987292,0.00544476,0.01,igarch,RQ,0
beta1,0.264222178,0.090642774,0.001778537,0.01,igarch,RQ,1
beta2,0.880772408,0.029677673,7.39E-194,0.01,igarch,RQ,1
beta3,0.565576032,0.211993508,0.003816426,0.01,igarch,RQ,1
beta1,0.263608208,0.090643332,0.001817626,0.01,igarch,RQ,2
beta2,0.880891291,0.029708373,1.63E-193,0.01,igarch,RQ,2
beta3,0.565007219,0.212211603,0.003878464,0.01,igarch,RQ,2
beta1,0.315330373,0.11272377,0.002576005,0.01,igarch,RQ,3
beta2,0.858346373,0.073580704,9.58E-32,0.01,igarch,RQ,3
beta3,0.718934683,0.623349064,0.12438501,0.01,igarch,RQ,3
beta1,0.251769285,0.086814795,0.001865376,0.01,igarch,RQ,4
beta2,0.882398538,0.029330259,3.82E-199,0.01,igarch,RQ,4
beta3,0.561351488,0.212147817,0.004072016,0.01,igarch,RQ,4
beta1,0.263665354,0.091106729,0.001901676,0.01,igarch,RQ,5
beta2,0.881070436,0.030196817,1.87E-187,0.01,igarch,RQ,5
beta3,0.563194634,0.216719822,0.004678572,0.01,igarch,RQ,5
beta1,0.248023677,0.083547325,0.001495502,0.01,igarch,RQ,6
beta2,0.883286087,0.028958387,1.23E-204,0.01,igarch,RQ,6
beta3,0.556226976,0.208967799,0.003886396,0.01,igarch,RQ,6
beta1,0.270562912,0.092337111,0.001693914,0.01,igarch,RQ,7
beta2,0.878417779,0.029924671,1.05E-189,0.01,igarch,RQ,7
beta3,0.576606558,0.213512429,0.003460975,0.01,igarch,RQ,7
beta1,0.269300599,0.092120221,0.001731378,0.01,igarch,RQ,8
beta2,0.878886076,0.029899642,3.22E-190,0.01,igarch,RQ,8
beta3,0.574404647,0.213359509,0.003549209,0.01,igarch,RQ,8
beta1,0.27489828,0.08760701,0.000850939,0.01,igarch,RQ,9
beta2,0.87681355,0.047856091,2.77E-75,0.01,igarch,RQ,9
beta3,0.584129959,0.368412163,0.056422545,0.01,igarch,RQ,9
beta1,0.276932666,0.088416189,0.000867659,0.01,igarch,RQ,10
beta2,0.876088092,0.048237733,5.17E-74,0.01,igarch,RQ,10
beta3,0.587295792,0.371487305,0.056946909,0.01,igarch,RQ,10
beta1,0.266074282,0.091549838,0.001828462,0.01,igarch,RQ,11
beta2,0.88014971,0.030242305,1.63E-186,0.01,igarch,RQ,11
beta3,0.567765305,0.217121505,0.00446182,0.01,igarch,RQ,11
beta1,0.273656579,0.080202105,0.000322337,0.01,igarch,RQ,12
beta2,0.877488669,0.029258373,6.42E-198,0.01,igarch,RQ,12
beta3,0.578584977,0.218422355,0.004037383,0.01,igarch,RQ,12
beta1,0.267660612,0.091578831,0.001734861,0.01,igarch,RQ,13
beta2,0.879133458,0.029796636,1.26E-191,0.01,igarch,RQ,13
beta3,0.57366522,0.212792112,0.003509988,0.01,igarch,RQ,13
beta1,0.250824569,0.084256303,0.001455783,0.01,igarch,RQ,14
beta2,0.881108877,0.029091844,8.46E-202,0.01,igarch,RQ,14
beta3,0.568914987,0.210770731,0.003475189,0.01,igarch,RQ,14
beta1,0.28922898,0.093364014,0.000974606,0.01,igarch,RQ,15
beta2,0.870856487,0.05543611,6.54E-56,0.01,igarch,RQ,15
beta3,0.620311547,0.443139179,0.080784809,0.01,igarch,RQ,15
beta1,0.255462363,0.086212801,0.001522489,0.01,igarch,RQ,16
beta2,0.885284036,0.028332474,1.25E-214,0.01,igarch,RQ,16
beta3,0.530275029,0.196917447,0.003541889,0.01,igarch,RQ,16
beta1,0.264280143,0.091628344,0.001961661,0.01,igarch,RQ,17
beta2,0.881358661,0.030435927,1.12E-184,0.01,igarch,RQ,17
beta3,0.55624153,0.216320975,0.005064834,0.01,igarch,RQ,17
beta1,0.289737033,0.076137808,7.08E-05,0.01,igarch,RQ,18
beta2,0.887401086,0.019864315,0,0.01,igarch,RQ,18
beta3,0.479393915,0.098899201,6.26E-07,0.01,igarch,RQ,18
beta1,0.312209927,0.111304636,0.002515799,0.01,igarch,RQ,19
beta2,0.85950859,0.072722468,1.56E-32,0.01,igarch,RQ,19
beta3,0.711168392,0.613903893,0.12334307,0.01,igarch,RQ,19
beta1,0.298598108,0.095087332,0.000844015,0.01,igarch,RQ,20
beta2,0.863360344,0.056513589,5.44E-53,0.01,igarch,RQ,20
beta3,0.686063232,0.475944591,0.07472497,0.01,igarch,RQ,20
beta1,0.270854469,0.092317751,0.00167346,0.01,igarch,RQ,21
beta2,0.87833573,0.029912508,8.04E-190,0.01,igarch,RQ,21
beta3,0.576705834,0.213317917,0.003430632,0.01,igarch,RQ,21
beta1,0.274588685,0.08748875,0.000848901,0.01,igarch,RQ,22
beta2,0.876931468,0.047799492,1.78E-75,0.01,igarch,RQ,22
beta3,0.583563036,0.367922355,0.056357886,0.01,igarch,RQ,22
beta1,0.267220972,0.091130943,0.001682444,0.01,igarch,RQ,23
beta2,0.87964059,0.02972073,8.20E-193,0.01,igarch,RQ,23
beta3,0.570970498,0.212303366,0.003578937,0.01,igarch,RQ,23
beta1,0.270059411,0.078391332,0.000285513,0.01,igarch,RQ,24
beta2,0.879838004,0.028908788,9.47E-204,0.01,igarch,RQ,24
beta3,0.55644406,0.211377713,0.00423841,0.01,igarch,RQ,24
beta1,0.315330492,0.111876503,0.002411989,0.01,igarch,RQ,25
beta2,0.85739982,0.073503982,9.66E-32,0.01,igarch,RQ,25
beta3,0.72593482,0.625006079,0.122722479,0.01,igarch,RQ,25
beta1,0.26429992,0.090579107,0.00176204,0.01,igarch,RQ,26
beta2,0.880722805,0.029650887,3.50E-194,0.01,igarch,RQ,26
beta3,0.565994448,0.2118687,0.003776333,0.01,igarch,RQ,26
beta1,0.267375636,0.091571685,0.001750996,0.01,igarch,RQ,27
beta2,0.879133726,0.029808929,1.81E-191,0.01,igarch,RQ,27
beta3,0.573771062,0.212918977,0.003521693,0.01,igarch,RQ,27
beta1,0.256473686,0.088376589,0.00185362,0.01,igarch,RQ,28
beta2,0.884398346,0.028956672,3.60E-205,0.01,igarch,RQ,28
beta3,0.537736238,0.202439672,0.003950412,0.01,igarch,RQ,28
beta1,0.264211,0.090877711,0.001822674,0.01,igarch,RQ,29
beta2,0.880826994,0.029764233,9.07E-193,0.01,igarch,RQ,29
beta3,0.564772519,0.212412613,0.003920435,0.01,igarch,RQ,29
beta1,0.367891016,0.111503538,0.000484517,0.01,igarch,mle,0
beta2,0.828802121,0.063361231,2.13E-39,0.01,igarch,mle,0
beta3,0.933561672,0.624681359,0.067527638,0.01,igarch,mle,0
beta1,0.276175224,0.088047437,0.000854409,0.01,igarch,mle,1
beta2,0.8762896,0.048073906,1.55E-74,0.01,igarch,mle,1
beta3,0.586652485,0.370330559,0.056581843,0.01,igarch,mle,1
beta1,0.271096321,0.092430016,0.001678573,0.01,igarch,mle,2
beta2,0.878219852,0.02993573,1.76E-189,0.01,igarch,mle,2
beta3,0.577539934,0.213581348,0.003424744,0.01,igarch,mle,2
beta1,0.256745062,0.088469959,0.001853592,0.01,igarch,mle,3
beta2,0.881745033,0.029642941,9.90E-195,0.01,igarch,mle,3
beta3,0.563134696,0.213912915,0.004237429,0.01,igarch,mle,3
beta1,0.264292751,0.090576502,0.001762013,0.01,igarch,mle,4
beta2,0.880728194,0.029650207,3.41E-194,0.01,igarch,mle,4
beta3,0.565967004,0.211863183,0.003777007,0.01,igarch,mle,4
beta1,0.243622442,0.080205158,0.001192783,0.01,igarch,mle,5
beta2,0.891571539,0.020888184,0,0.01,igarch,mle,5
beta3,0.48394046,0.103243242,1.38E-06,0.01,igarch,mle,5
beta1,0.263639351,0.090553041,0.00179886,0.01,igarch,mle,6
beta2,0.880992031,0.029671514,4.94E-194,0.01,igarch,mle,6
beta3,0.564521167,0.211945708,0.003866416,0.01,igarch,mle,6
beta1,0.266916829,0.091124946,0.00169956,0.01,igarch,mle,7
beta2,0.879772818,0.029731938,1.00E-192,0.01,igarch,mle,7
beta3,0.570225984,0.212341849,0.00362199,0.01,igarch,mle,7
beta1,0.271307467,0.079992634,0.000347358,0.01,igarch,mle,8
beta2,0.878333582,0.02926813,3.64E-198,0.01,igarch,mle,8
beta3,0.57489055,0.218469218,0.004251084,0.01,igarch,mle,8
beta1,0.27350855,0.087062528,0.000840371,0.01,igarch,mle,9
beta2,0.877294512,0.047606208,3.91E-76,0.01,igarch,mle,9
beta3,0.581904313,0.366319817,0.056085031,0.01,igarch,mle,9
beta1,0.260041401,0.089817311,0.001894429,0.01,igarch,mle,10
beta2,0.881339078,0.029930621,7.07E-191,0.01,igarch,mle,10
beta3,0.564154892,0.215645655,0.004446766,0.01,igarch,mle,10
beta1,0.261803925,0.090043061,0.001821411,0.01,igarch,mle,11
beta2,0.882028136,0.029972289,1.20E-190,0.01,igarch,mle,11
beta3,0.555585564,0.213957919,0.004706138,0.01,igarch,mle,11
beta1,0.275659879,0.087909915,0.000857197,0.01,igarch,mle,12
beta2,0.876534761,0.047999336,8.40E-75,0.01,igarch,mle,12
beta3,0.585440099,0.369624667,0.056610829,0.01,igarch,mle,12
beta1,0.277772716,0.08871912,0.00087129,0.01,igarch,mle,13
beta2,0.875667918,0.048403524,1.88E-73,0.01,igarch,mle,13
beta3,0.589626146,0.373144427,0.057035652,0.01,igarch,mle,13
beta1,0.370219578,0.109783991,0.000372777,0.01,igarch,mle,14
beta2,0.823782477,0.038935269,1.17E-99,0.01,igarch,mle,14
beta3,0.973899692,0.410370878,0.008816918,0.01,igarch,mle,14
beta1,0.260034049,0.09018592,0.001967594,0.01,igarch,mle,15
beta2,0.880284918,0.030093,2.11E-188,0.01,igarch,mle,15
beta3,0.570055114,0.217149226,0.004330199,0.01,igarch,mle,15
beta1,0.26384579,0.090658826,0.00180532,0.01,igarch,mle,16
beta2,0.880856871,0.029702092,1.40E-193,0.01,igarch,mle,16
beta3,0.565122101,0.212148879,0.003863179,0.01,igarch,mle,16
beta1,0.26518324,0.090731846,0.001734975,0.01,igarch,mle,17
beta2,0.880430571,0.029665923,7.34E-194,0.01,igarch,mle,17
beta3,0.567298859,0.211944673,0.003718263,0.01,igarch,mle,17
beta1,0.272114896,0.092622565,0.001652272,0.01,igarch,mle,18
beta2,0.87783694,0.029961036,5.30E-189,0.01,igarch,mle,18
beta3,0.579403818,0.213763247,0.003359162,0.01,igarch,mle,18
beta1,0.26393318,0.090706622,0.001808616,0.01,igarch,mle,19
beta2,0.881143526,0.030083633,6.99E-189,0.01,igarch,mle,19
beta3,0.560980438,0.21520988,0.004571415,0.01,igarch,mle,19
beta1,0.245876601,0.079275578,0.000962575,0.01,igarch,mle,20
beta2,0.890507728,0.025140667,4.06E-275,0.01,igarch,mle,20
beta3,0.490849861,0.163222013,0.001318102,0.01,igarch,mle,20
beta1,0.273996125,0.087256212,0.000844355,0.01,igarch,mle,21
beta2,0.877149254,0.047689338,7.48E-76,0.01,igarch,mle,21
beta3,0.582550148,0.366995211,0.056216606,0.01,igarch,mle,21
beta1,0.264199645,0.090581335,0.001768713,0.01,igarch,mle,22
beta2,0.880747949,0.029656572,4.05E-194,0.01,igarch,mle,22
beta3,0.565860431,0.211904084,0.003788485,0.01,igarch,mle,22
beta1,0.25250701,0.087443027,0.001940505,0.01,igarch,mle,23
beta2,0.881993574,0.029515856,1.68E-196,0.01,igarch,mle,23
beta3,0.563348734,0.213515962,0.00416444,0.01,igarch,mle,23
beta1,0.266317407,0.091033839,0.001719643,0.01,igarch,mle,24
beta2,0.879811288,0.029729165,8.87E-193,0.01,igarch,mle,24
beta3,0.570349932,0.212433744,0.003628262,0.01,igarch,mle,24
beta1,0.253082297,0.0849116,0.00143871,0.01,igarch,mle,25
beta2,0.886738823,0.028072067,2.70E-219,0.01,igarch,mle,25
beta3,0.518810941,0.193468098,0.003663161,0.01,igarch,mle,25
beta1,0.259211131,0.089315292,0.00185274,0.01,igarch,mle,26
beta2,0.881291856,0.029809645,2.17E-192,0.01,igarch,mle,26
beta3,0.564730968,0.21490603,0.004296898,0.01,igarch,mle,26
beta1,0.269783513,0.092210775,0.001718264,0.01,igarch,mle,27
beta2,0.878703392,0.02991111,5.38E-190,0.01,igarch,mle,27
beta3,0.575297744,0.213443704,0.003516119,0.01,igarch,mle,27
beta1,0.251173763,0.082330103,0.001141113,0.01,igarch,mle,28
beta2,0.887764161,0.027544011,3.27E-228,0.01,igarch,mle,28
beta3,0.510931895,0.183022508,0.00262213,0.01,igarch,mle,28
beta1,0.274408942,0.087304205,0.000835742,0.01,igarch,mle,29
beta2,0.876902758,0.047727887,1.08E-75,0.01,igarch,mle,29
beta3,0.583803803,0.36744464,0.056050392,0.01,igarch,mle,29
