beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.045750256,0.009808814,1.55E-06,0.05,asymmetric,RQ,17
beta2,0.926400343,0.022983051,0,0.05,asymmetric,RQ,17
beta3,0.003233497,0.051630605,0.475031554,0.05,asymmetric,RQ,17
beta4,0.231215429,0.070306362,0.000503284,0.05,asymmetric,RQ,17
beta1,-0.045755228,0.009784482,1.46E-06,0.05,asymmetric,RQ,18
beta2,0.92648049,0.022930615,0,0.05,asymmetric,RQ,18
beta3,0.003512459,0.051476985,0.472799847,0.05,asymmetric,RQ,18
beta4,0.231082135,0.070145178,0.000493264,0.05,asymmetric,RQ,18
beta1,-0.045660318,0.009866912,1.85E-06,0.05,asymmetric,RQ,19
beta2,0.926457716,0.023154949,0,0.05,asymmetric,RQ,19
beta3,0.003372872,0.052015945,0.474149489,0.05,asymmetric,RQ,19
beta4,0.231164321,0.070850031,0.000551729,0.05,asymmetric,RQ,19
beta1,-0.04573492,0.00976595,1.41E-06,0.05,asymmetric,RQ,20
beta2,0.926624545,0.022905675,0,0.05,asymmetric,RQ,20
beta3,0.004005154,0.051362785,0.468922877,0.05,asymmetric,RQ,20
beta4,0.230861544,0.070073783,0.000492898,0.05,asymmetric,RQ,20
beta1,-0.045723308,0.009745345,1.35E-06,0.05,asymmetric,RQ,21
beta2,0.926732785,0.022869178,0,0.05,asymmetric,RQ,21
beta3,0.004335746,0.051239699,0.466282968,0.05,asymmetric,RQ,21
beta4,0.230665043,0.069959308,0.000488389,0.05,asymmetric,RQ,21
beta1,-0.045622945,0.009956697,2.30E-06,0.05,asymmetric,RQ,22
beta2,0.925387382,0.02265441,0,0.05,asymmetric,RQ,22
beta3,0.000870232,0.05153303,0.493263427,0.05,asymmetric,RQ,22
beta4,0.233476625,0.069949146,0.000422215,0.05,asymmetric,RQ,22
beta1,-0.045629246,0.009967151,2.35E-06,0.05,asymmetric,RQ,23
beta2,0.926319601,0.022760196,0,0.05,asymmetric,RQ,23
beta3,0.002890836,0.051522861,0.47762795,0.05,asymmetric,RQ,23
beta4,0.231412688,0.069871672,0.000463212,0.05,asymmetric,RQ,23
beta1,-0.045695299,0.009890407,1.92E-06,0.05,asymmetric,RQ,24
beta2,0.926256162,0.023181661,0,0.05,asymmetric,RQ,24
beta3,0.002691168,0.052153392,0.479423301,0.05,asymmetric,RQ,24
beta4,0.23146312,0.070920734,0.000549862,0.05,asymmetric,RQ,24
beta1,-0.045750212,0.009790836,1.49E-06,0.05,asymmetric,RQ,25
beta2,0.926477512,0.022947257,0,0.05,asymmetric,RQ,25
beta3,0.00350952,0.051515484,0.472842849,0.05,asymmetric,RQ,25
beta4,0.231094224,0.070197734,0.000497305,0.05,asymmetric,RQ,25
beta1,-0.045936465,0.009821418,1.45E-06,0.05,asymmetric,RQ,26
beta2,0.926620955,0.022996853,0,0.05,asymmetric,RQ,26
beta3,0.004026885,0.051456627,0.468811475,0.05,asymmetric,RQ,26
beta4,0.230681004,0.070457557,0.000530104,0.05,asymmetric,RQ,26
beta1,-0.04574608,0.009799748,1.52E-06,0.05,asymmetric,RQ,27
beta2,0.926446533,0.022966768,0,0.05,asymmetric,RQ,27
beta3,0.003384972,0.051575938,0.473835868,0.05,asymmetric,RQ,27
beta4,0.231139915,0.070257227,0.000501098,0.05,asymmetric,RQ,27
beta1,-0.044885465,0.009507522,1.17E-06,0.05,asymmetric,RQ,28
beta2,0.925688095,0.021859503,0,0.05,asymmetric,RQ,28
beta3,0.000147899,0.049921092,0.498818074,0.05,asymmetric,RQ,28
beta4,0.232570005,0.067506975,0.000285397,0.05,asymmetric,RQ,28
beta1,-0.045718049,0.010018331,2.52E-06,0.05,asymmetric,RQ,29
beta2,0.926279804,0.022847492,0,0.05,asymmetric,RQ,29
beta3,0.002958926,0.05169306,0.477176893,0.05,asymmetric,RQ,29
beta4,0.23150101,0.070131066,0.000481745,0.05,asymmetric,RQ,29
beta1,-0.045670821,0.010006246,2.51E-06,0.05,asymmetric,mle,0
beta2,0.926275924,0.022831929,0,0.05,asymmetric,mle,0
beta3,0.002757768,0.05169424,0.478727443,0.05,asymmetric,mle,0
beta4,0.231459289,0.070082693,0.000478863,0.05,asymmetric,mle,0
beta1,-0.045757354,0.009808172,1.54E-06,0.05,asymmetric,mle,1
beta2,0.92640189,0.022979961,0,0.05,asymmetric,mle,1
beta3,0.003263199,0.051615819,0.474795298,0.05,asymmetric,mle,1
beta4,0.231207557,0.070293426,0.000502403,0.05,asymmetric,mle,1
